N
c1cncc(c1)[C@H]1NCC=CC1
c1(cncc2c1CC[C@H]2C)C=O
c1ccc2c(c1)[nH]c1c2cns1
c1(c(cc(cc1O)C(=O)O)O)O
c1c(c(c(c(n1)C)O)COC)CO
C(=O)(c1ccccc1)NCC(=O)O
c1ccc2c(c1)c(c[nH]2)C=O
c1ccc2c(c1)c(c[nH]2)CCO
c12c(ccc(c1)/C=C/C)OCO2
SC[C@H](CSC(=O)C)C(=O)O
[Se](C)C[C@@H](C(=O)O)N
CCCCCCCCCCCCCCCCCC(=O)O
c1ccc2c(c1)c(c[nH]2)CCN
c1(c(cc(cc1)C(=O)O)OC)O
C1CN([C@@H](C1)CC(=O)C)C
C(=C\C=C/C=C\C=C\CC)/CCC
C(/C=C\C/C=C\C/C=C\CC)CO
c1(cc(cc(c1C(=O)C)O)OC)O
c1c(c(c(c(c1OC)Cl)C)Cl)O
C1(=CC(=O)C=C(C1=O)OC)OC
c1(c(scn1)CCOP(=O)(O)O)C
c1(cc(c2c(c1)occc2=O)O)O
c1ccc2c(c1OC)c(c[nH]2)CC
C([C@@H](C(=O)O)N)C(=O)N
c1ccc2c(c1)[nH]c1c2cccc1
C1=C(CC[C@H](C1)C(=C)C)C
c12c(cc(ccc1C)CC)c(cc2)C
C1C[C@H]([C@H](C1=O)CO)C
c1(c(ccc(c1)CCC(=O)O)O)O
c1c(cc(cc1O)CCc1ccccc1)O
c1c(c(cc(c1)C(=O)OCC)O)O
[C@H](C(=O)O)(N)CCC(=O)N
c1c(cc2c(c1)ccc(=O)o2)OC
c1ccc2c(c1)c(c[nH]2)CC=O
[C@H](C(=O)O)(N)CCC(=O)O
c1cc(cc(c1O)O)[C@H](CN)O
C([C@@H](C(=O)O)O)C(=O)O
COC(=O)CCCCCCCCCCCCCCCCC
c1c(c(cc(c1)C(=O)OC)OC)O
c1(c(ccc(c1)/C=C/C)OC)OC
c1cncc(c1)[C@H]1N(CCC1)C
c1ccc(c(c1)/C=C/C(=O)O)O
c1c(ccc(c1)/C=C/C(=O)O)O
C1C=C(CC[C@]1(O)C)C(=C)C
CCCCCC/C=C\CCCCCCCC(=O)O
c1cccc(c1)c1c2n(nc1)CCC2
O=C(/C=C/c1ccc(o1)C(=O)C
c12c(cc(c(c1)CC=C)OC)OCO2
c1c(=O)n(c2c(c1OC)cccc2)C
c1c(c(cc(c1)C(=O)CCO)OC)O
c1c(c(c(cc1C(=O)C)OC)O)OC
c1ccc2c(c1)[nH]c(c2C=O)SC
c1cc(c(cc1/C=C/C(=O)O)O)O
C1CCO[C@@]2(C1)C=C/C(=C/C
c1(c(ccc(c1)/C=C/C=O)O)OC
c1(c(c(ccc1)C(=O)OC)NC)OC
N(C[C@@H](C(=O)O)N)C(=O)N
c1c(ccc(c1)/C=C/C(=O)OC)O
c12c(c(cc(c1)CC=C)OC)OCO2
c1(cc(cc(c1O)OC)C(=O)O)OC
c1csc(c1)c1ccc(s1)c1cccs1
c1cc(c(cc1C)OC(=O)C)C(C)C
c1c[n+](cc(c1)C(=O)[O-])C
c1(cc(cc(c1C(=O)C)O)OC)OC
c1cc(=O)n2c(c1O)cnc(c2)OC
C1=C(CC[C@@](C1)(C(C)C)O)C
C/C(=C\CC[C@](C=C)(C)O)/CO
C1=C(CC[C@@H](C1)C(=C)C)CO
c1(ccc2c(c1)c(c[nH]2)CCN)O
c1c(cc2c(c1)[nH]c(=O)o2)OC
CC(=CCC/C(=C/COC(=O)C)/C)C
c1(c(cc2c(c1)ccc(=O)o2)O)O
C1C(=CC[C@H](C1)C(O)(C)C)C
[C@H](C(=O)O)(N)CCCNC(=N)N
c1c(ccc(c1)CC[N+](C)(C)C)O
c12c(cocc1C(=O)O)c(cc2)C=O
C(=O)(C[C@@](C(=O)O)(O)C)O
O=C(CC(CC(=O)O)(C(=O)O)O)O
[C@H](C(=O)O)(N)CCCNC(=O)N
[C@H]1(CCC(=O)N1C)c1cnccc1
c1c(c(c(cc1C(=O)CO)OC)O)OC
c1(c(c(cc(c1)CC=C)OC)OC)OC
c1ccc2c(c1)c(c[nH]2)CN(C)C
c1ccc2c(c1)c(c[nH]2)C(=O)O
c12c(cc(c(c1)O)O)C(=O)NCC2
C1CC(CCC1=C)C(=C)CCC=C(C)C
[C@H](C(=O)O)(N)CCONC(=N)N
[C@H](C(=O)O)(N)CCCCC(=N)N
C(=O)(NCC)CC[C@H](N)C(=O)O
c1ccc2c(c1)C(=O)C(=CC2=O)O
c1(c(c(cc(c1)C(=O)OC)O)O)O
c1(ccc2c(c1CO)oc(=O)cc2)OC
CCCCCCCC/C=C\CCCCCCCC(=O)O
N1([C@H]2CCC[C@@]1(CC2)O)C
C1CCCN1C(=O)/C=C/C=C/CCCCC
C1C(=CC[C@@](C1)(C(C)C)O)C
C=C/C(=C\C[C@H](C(=C)C)O)/C
C1C[C@H]2CC[C@@]1(OC2(C)C)C
C1=C(C[C@@](CC1)(C(=C)C)O)C
c12c(cc3c(c1)OCC3)ccc(=O)o2
c1(c(ccc(c1)[C@H](CNC)O)O)O
N1C(=O)[C@@H](NC1=O)NC(=O)N
c12c(c(cc(c1OC)CC=C)OC)OCO2
C(=O)(O)CCCCCCCCCCCCCCCCCCC
[S@@]1(=O)C[C@H](CS1)C(=O)O
c1(c(cc(cc1OC)c1ccccc1)OC)O
CCCCCCCCCCCCCCCCCCCCCC(=O)O
c1ccc2c(c1)[nH]cc2CNC(=S)SC
c1cc(c2c(c1C(C)C)cc(cc2)C)C
c12c(cocc1C(=O)OC)c(cc2)C=O
OC(=O)/C=C(\C(=O)O)/CC(=O)O
c1c(cc(cc1O)CCc1c(cccc1)O)O
c1ccc2c(c1)c(=O)n1c(n2)CCC1
c1ccc2c(c1)c(c1c(n2)occ1)OC
c1c(cc(cc1O)CCc1ccc(cc1)O)O
c1(c(c(cc(c1)C(=O)OCC)O)O)O
CCCCCCCCCCCCCCCCCCCCCCCCCCO
C1CCCN1C(=O)CCCCCCCCCCCCCCC
[C@H](C(=O)O)(N)Cc1nc[nH]c1
c1ccc2c(c1)c(c[nH]2)C/C=N\O
c1ccc2c(c1)c(c[nH]2)CC(=O)N
c1ccc2c(c1)c(c[nH]2)CC(=O)O
c12c(cc(c(c1)O)OC)oc(=O)cc2
c1(c(cc2c(c1)CCN(C2)C)OC)OC
c1ccc2c(c1)c(c[nH]2)CCN(C)C
C1(=O)c2cc(c(cc2CCN1C)OC)OC
c1(c(cc2c(c1)c(ncc2)C)OC)OC
c1c(c(cc(c1)[C@H](O)CN)OC)O
c12c(cc(c(c1)OC)O)C(=O)NCC2
c12c(cccc1C)C=C(C(=O)C2=O)C
c1c(ccc(c1)/C=C/C(=O)OCC)OC
c1c(cc(cc1O)/C=C/c1ccccc1)O
c12c(cc3c(c1)ccc(=O)o3)occ2
c1cc(c2c(c1)[nH]cc2N=C=S)OC
C1CNC(=S)[C@@H]([C@H]1SC)OC
[C@H]1(NCCc2c1cc(c(c2)O)O)C
C1C=CC(=O)N1C(=O)CCc1ccccc1
c1(c(cc2c(c1)ccc(=O)o2)O)OC
c1ccc2c(c1)c(cc(=O)o2)OCC=C
C1C[C@H](C=C[C@]1(O)C)C(=C)C
C1C[C@@]2(C[C@@H]2C1=C)C(C)C
C1=C(C(=O)C[C@@H](C1)C(C)C)C
C1C[C@H](C(=O)C[C@H]1C)C(C)C
C1=C(CC[C@@H](C1)C(C)(C)O)CO
CC(=CCC/C(=C/CCC(=C)C=C)/C)C
c1(c(ccc(c1)/C=C/C(=O)O)O)OC
CC(=CCC[C@H](c1ccc(cc1)C)C)C
c12c(oc3c(c1=O)cccc3O)cccc2O
c1ccc2c(c1)n(cc2CNC(=O)SC)OC
c1(c(cc2c(c1)ccc(=O)o2)OC)OC
c1c(cc(cc1O)CCc1c(cccc1)O)OC
c1(c(cc(c(c1)/C=C\C)OC)OC)OC
C1CO[C@@]2(C1)CC[C@@H](O2)CC
c12c(cc(c(c1)OC)OC)C(=O)NCC2
C1C[C@H](C(=O)C(=C1C)O)C(C)C
c1ccc2c(c1)oc(cc2=O)c1ccccc1
c12c(cc(cc1)O)c(cc(=O)n2C)OC
CC(=CCC[C@](C=C)(OC(=O)C)C)C
CCCCCCCCC1=C(C1)CCCCCCC(=O)O
c1ccc2c(c1)c(cn2OC)CNC(=S)SC
c1ccc2c(c1)c(c[nH]2)CC(=O)OC
c1(cc(ccn1)c1cccnc1)c1cnccc1
CCCCCCCCCCCCCCCCCCCCCCCCCCCC
N1([C@H]2CC(=O)C[C@H]1CCC2)C
C1[C@H]2CC(=O)C[C@@H](C1)N2C
[C@H]12CC[C@H](C(=C)C1(C)C)C2
C1C[C@H](C=C[C@@]1(O)C)C(=C)C
[C@]12(CC=C([C@@H]1C2)C)C(C)C
C1C[C@@H](CC(=O)[C@H]1C)C(C)C
C1C[C@H](CC(=O)[C@H]1C)C(=C)C
CC(C(=C)CC/C(=C/CCC(=O)C)/C)C
C1=C(C(=O)C[C@@H](C1)C(=C)C)C
c1cc(c2c(c1)C[C@@H](OC2=O)C)O
C1C[C@@]2(CC[C@@]1(C)O2)C(C)C
C1[C@H]([C@@H](CC=C1C)C(C)C)O
c1(=O)c2c(oc3c1cc(cc3)O)cccc2
c1ccc2c(c1)[nH]c1c2cc(cc1)C=O
c12c(c3c([nH]1)ccc(c3)C)cccc2
c1ccc2c(c1Cl)c(c[nH]2)CC(=O)O
c12c(c(=O)c3c(o1)cccc3)cccc2O
C1(=O)C[C@@H](CC=C1C)C(C)(C)O
c1(cc(c(c(c1C(=O)CCC)O)C)OC)O
c12c(c(c3c(c1OC)cccc3)OC)cco2
c12c(C(=O)c3c(C1=O)cccc3)cco2
c1cc(cc(c1CCCc1ccc(cc1)O)O)OC
c1cc(cc(c1CCCc1ccc(cc1)O)OC)O
c12c(c(c(c(c1)CC=C)OC)OC)OCO2
c1ccc(cc1)[C@@H](O)[C@H](C)NC
c1c(c(cc(c1)/C=C/C(=O)OC)OC)O
c1(cc(cc(c1)O)CCCCCCCCCCCCC)O
C(CCCCCCCCCCC)CCCCCCCCCCCCCCC
c1ccc2c(c1)c(c[nH]2)CCCC(=O)O
C1C[C@H](C(=O)C[C@@H]1C)C(C)C
c1c(cc2c(c1OC)[nH]c1c2cccc1)C
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
c1cc(c2c(c1)C(=O)C(=CC2=O)C)O
c1(cc(c2c(c1)C(=O)C=CC2=O)O)C
C(=C(\COC(=O)/C(=C/C)/C)/C)/C
c12c(ccc(=O)o1)cc1c(c2OC)occ1
C1=C([C@@H]2C[C@H](C1)C2(C)C)C
C1C[C@@H](C(=O)C[C@@H]1C)C(C)C
C1C[C@H]2CC(=O)[C@@]1(C2(C)C)C
C1C[C@@H]2C(=C)C([C@H]1C2)(C)C
C1[C@@H]2[C@H](CC(=C1)C)C2(C)C
C([C@H](CCCCC)O)CCCCCCCCC(=O)O
C=CC(C(=O)[C@H]1C(C)(C)O1)(C)C
C1([C@H]2C(=CC[C@@H]1C2)C)(C)C
CC(=C)[C@@H](CC[C@](C=C)(C)O)O
c1ccc2c(c1)[nH]c1c2cc(c(c1)O)C
c12c(oc3c(c1=O)cc(cc3)OC)cccc2
c1c(ccc(c1)CCc1cc(cc(c1)O)OC)O
C1=C(C[C@@H]2[C@H](C1)C2(C)C)C
c1ccc2c(c1Cl)c(c[nH]2)CC(=O)OC
c1(c(cc(c2c1oc(=O)cc2)OC)OC)OC
c1(ccc2c(c1)c(c[nH]2)CC(=O)O)O
C1[C@H]([C@@H]([C@H](NC1)C)O)O
c1cc(c2c(c1C(C)C)cc(c(c2)O)C)C
c1(=O)[nH]c(=O)c2c([nH]1)ncn2C
c1cc(cc(c1)CCc1cc(cc(c1)O)OC)O
C(=O)(CC[C@H](C)C(=O)O)c1ccoc1
c1(ccc2c(c1)c(c[nH]2)CCN(C)C)O
c1c(c(cc2c1ccc(=O)o2)OC)C(=O)O
n1(c(=O)n(c2c(c1=O)n(cn2)C)C)C
c1cc(cc2c1CCc1c2c(cc(c1)OC)O)O
c12c(cocc1C(=O)OC)c(cc2)C(=O)O
c12c(nc3c1cccc3)cc1c(n2C)cccc1
c12c(C(=O)C(=C(C1=O)O)C)cccc2O
c12c(oc3c1cc(c(c3OC)O)OC)cccc2
C1CN[C@@H]([C@H]([C@@H]1O)O)CO
C(=C\CCCCCCCC)\CCCCCCCCCC(=O)O
c1(cccc2c1n(c1c(c2=O)cco1)C)OC
c1ccc2c(c1)[nH]c1c2cc(cc1OC)CO
[C@H](C(=O)O)([C@H](C(=O)O)O)O
c1ccc2c(c1OC)[nH]c1c2cc(cc1)CO
c1(cc(c2c(c1CO)oc(=O)cc2)OC)OC
c1(ccc(cc1O)/C=C/C(=O)NCCCCN)O
c1nc2c(c(n1)NCc1ccccc1)[nH]cn2
c1ccc2c(c1)[nH]cc2CC[C@H](CO)C
n1(c(=O)[nH]c2c(c1=O)n(cn2)C)C
c1(c(cc2c(c1)CC[N+](=C2)C)O)OC
c1c(c(c2c(c1)[nH]cc2N=C=S)OC)O
c1c(cc(cc1O)/C=C/c1ccc(cc1)O)O
c1cc(c2c(c1)c(c1c(n2)occ1)OC)O
c1(cccc2c1n(c(=O)c(c2O)OC)C)OC
[nH]1c(=O)n(c2c(c1=O)n(cn2)C)C
n1(c(=O)n(c2c(c1=O)[nH]cn2)C)C
c1c2c(cc3c1ccc1c3ncc(c1)O)OCO2
C1=C[C@@H](C[C@H](C1=C)O)C(C)C
C1C=C(CC=C1C)[C@@H](CCC=C(C)C)C
c12c(C(=O)c3c(C1=O)cccc3)cccc2O
[C@@H]12C(=C)CC[C@@H](C1)C2(C)C
c1ccc2c(c1)[nH]c1c2cc(c(c1)OC)C
c12c(cc(cc1O)C)C(=O)C=C(C2=O)OC
[C@]12([C@@H](C(=C)CC1)C2)C(C)C
c1cc(c2c(c1)[nH]cc2CNC(=S)SC)OC
c1(=O)cc(cc(o1)/C=C/c1ccccc1)OC
c1(ccc2c(c1)c(c[nH]2)CCN(C)C)OC
c1(cc(cc(c1)O)CCCCCCCCCCCCCCC)O
[S@@](=O)(C[C@@H](C(=O)O)N)CC=C
CC(=CCC/C(=C/C/C=C(/C=C)\C)/C)C
c1c(cc2c(c1)OC(C=C2)(C)C)C(=O)O
C1C[C@@H](CC=C1C)C(=C)CCC=C(C)C
c12c(ccc(=O)o1)c(c1c(c2)occ1)OC
C1CC(=C(C(C1)(C)C)/C=C/C(=O)C)C
c1cc(c(cc1CCCc1ccc(cc1O)OC)O)OC
C(=C\C/C=C/CCCCCCCC(=O)O)\CCCCC
C1C[C@@H](CC[C@@]1(C)O)C(C)(C)O
O1[C@@H]([C@H]1C(=O)NC)c1ccccc1
c12c(c3c([nH]1)SC(=NC3)SC)cccc2
[C@@H]([C@H]([C@H](O)CO)O)(O)CO
c1cccc(c1)/C=C/c1oc(=O)cc(c1)OC
c1c(cc2c(c1)c(c1c(n2)occ1)OC)OC
c1(c(c(c2c(c1)ccc(=O)o2)O)OC)OC
c1(c(c(c2c(c1)oc(=O)cc2)OC)O)OC
c1cc(c2c(c1)c(c1c(n2)occ1)OC)OC
c1ccc2c(c1)c(nc(n2)Cc1ccccc1)OC
c1c(cc2c(c1)[nH]c1c2cc(cc1)C)OC
c1c(cc(cc1/C=C/c1c(cccc1O)O)O)O
C1=CC[C@@H](OC1=O)/C=C/c1ccccc1
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
c1ccc2c(c1)c(c[nH]2)/C=C\C(=O)O
c1(cccc2c1n(c1c(c2=O)cco1)CC)OC
[C@H](C(=O)O)(N)Cc1ccc(c(c1)O)O
C(=O)(O)CCCCCCCCCCCCCCCCCCCCCCC
c1ccc2c(c1OC)[nH]c1c2cc(cc1)C=O
c1c(ccc(c1OC)O)/C=C/[C@H]1NCCC1
c1c(cc(cc1O)/C=C/c1ccc(cc1O)O)O
c1ccc2c(c1)n(cc2CC[C@H](CO)C)OC
[C@H](C(=O)O)(N)C[S@](=O)/C=C/C
c12c(c(cc(c1)C)O)C(=O)CC[C@H]2O
C1(=C(C1)CCCCCCCC)CCCCCCCC(=O)O
c1ccc2c(c1)c(c(c(=O)[nH]2)OC)OC
CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO
N1([C@@H]2C[C@H](C[C@H]1CC2)O)C
c1ccc(c(c1)N)CN1CC[C@@H](C1=O)O
c1(c(ccc(c1)CCC(=O)CCCCCCC)O)OC
c1cc(ccc1C)[C@H](CC(=O)C=C(C)C)C
C12=CC(=O)CC[C@@]2(CCC[C@@H]1C)C
c1(cc(ccc1C)[C@@H](CCC=C(C)C)C)O
c1ccc2c(c1O)c(=O)c1c(o2)cc(cc1)O
c1c(cc(c2c1ccc1c2c(c(cc1)O)O)O)O
c1(ccc(cc1)C(=O)/C=C/c1ccccc1)OC
c1c(ccc(c1)C(=O)/C=N/O)OCC=C(C)C
c1ccc2c(c1O)occ(c2=O)c1ccc(cc1)O
S(/C=C/C(=O)NCCCCNC(=O)/C=C/SC)C
C(=O)(O)CCCCCCC/C=C\C=C\C=C\CCCC
C1CC(=O)c2c([C@@H]1C)cc(c(c2)C)O
c12c(C(=O)c3c(C1=O)cc(cc3)O)occ2
c1(c(c(c(cc1OC)CCc1ccccc1)O)O)OC
c1cc(c(cc1O)O)CCCCCCC/C=C\CCCCCC
C1C(=CC/C(=C(/C)\CCC=C(C)C)/C1)C
C1(=O)C=C(C[C@@H]2[C@H]1C2(C)C)C
c1ccc2c(c1)[nH]c1c2cc(cc1)C(=O)O
c1ccc2c(c1O)C(=O)c1c(C2=O)cccc1O
c1(ccc2c(c1)[nH]c1c2ccc(c1)OC)OC
c1(cc2c(C(=CCO2)c2ccccc2)cc1O)OC
C(=O)(O)CCCCCCCCCCC/C=C\CCCCCCCC
c1cc(c2c(c1)oc1c(c2=O)cc(cc1)O)O
c1c(c(cc(c1)C(=O)CCCCCN(C)C)OC)O
c1c(c(cc(c1)C(=O)CCCCCN(C)C)O)OC
C12=C(CC[C@H]1CC(=O)O)CO[C@@H]2O
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO
[C@H](C(=O)O)(N)Cn1ccc(=O)c(c1)O
c1c(cc2c(c1)OC(C=C2)(C)C)C(=O)OC
c1ccc2c(c1)[nH]c1c2cc(c(c1)O)C=O
C1C[C@H]([C@H](C[C@@H]1C)O)C(C)C
Oc1cc2c(c(cc(=O)o2)c2ccccc2)cc1O
C1=C([C@H](C[C@@H](C1)C(=C)C)O)C
c1ccc2c(c1)CN1C(=N2)[C@@H](CC1)O
c1(ccc2c(c1)OCO2)/C=C/CCCCCCCCCC
N1([C@H]2C[C@@H](C[C@@H]1CC2)O)C
c1c(cc(cc1OC)/C=C/c1ccc(cc1)O)OC
C(=C\C=C/CCCC)/C=C\CCCCCCCC(=O)O
c1(c(c(cc(c1)/C=C/C(=O)O)OC)O)OC
C1C[N+]([C@@H](C1)C(=O)[O-])(C)C
C1CC=C2[C@]([C@@H]1C)(CC(=O)CC2)C
[C@@H]12CC[C@@](C(=O)C1)(C2(C)C)C
OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)O
c1cc(c(c(c1)/C=C/c1cccc(c1O)O)O)O
OC[C@H](COC(=O)CCCCCCCCCCCCCCCO)O
CC([C@@H](CC[C@@](C=C)(C)O)O)(C)O
c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C
c1c(cc2c(c1)[nH]c1c2cc(cc1)C=O)OC
C(=O)([C@H](C[C@H](CNC(=N)N)O)N)O
c1c(c(c2c(c1)C(=O)c1c2nccc1C)O)OC
C1CC[C@H](N1C(=O)/C=C/c1ccccc1)OC
C1C(=CC[C@@H](C1)C(C)(OC(=O)C)C)C
c1(ccc2c(c1)OCc1c2oc2c1ccc(c2)O)O
C1C[C@@H](c2c(C1=O)cc(c(c2)O)CO)C
c1cc(c2c(c1C)C(=O)C(=C(C2=O)C)O)O
c1cc(cc(c1CCCc1cc(c(cc1)O)OC)OC)O
c1(cc(cc2c1C1(CCC(=O)CC1)CC2)OC)O
c1(c(cc(c(c1)O)C(=O)c1ccccc1)O)OC
