O(C)c1cc(O)c2C(=O)c3c(C)cc(OC)cc3Oc2c1
O=C1[C@H](C)[C@]2(C)[C@H]([C@@]3(C)[C@@H]([C@]4(C)[C@](C)([C@H]5[C@@](C)(CC4)CCC(C)(C)C5)CC3)CC2)CC1
O=C1[C@H](C)[C@]2(C)[C@H]([C@@]3(C)[C@@H]([C@]4(C)[C@](C)([C@H]5[C@@](CO)(CC4)CCC(C)(C)C5)CC3)CC2)CC1
O=C[C@]12[C@H]([C@@]3(C)[C@@](C)([C@@H]4[C@](C)([C@H]5[C@@](C)([C@@H](C)C(=O)CC5)CC4)CC3)CC1)CC(C)(C)CC2
O[C@H]1[C@@H](c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1
O=C(O[C@@H]1[C@H](O)c2c3OC(=O)C=Cc3ccc2OC1(C)C)/C(=C\C)/C
O=C(O[C@@H]1[C@H](OC(=O)C)c2c3OC(=O)C=Cc3ccc2OC1(C)C)C
O=C(O[C@H]1C(C)(C)Oc2c(c(OC)c3C(=O)C=C(C)Oc3c2)C1)/C(=C\C)/C
O=C(O[C@H]1C(C)(C)Oc2c(c(OC)c3C(=O)C=C(C)Oc3c2)C1)C(C)C
O=C(O[C@H]1C(C)(C)Oc2c(c3OC(=O)C=Cc3cc2)C1)/C(=C\C)/C
O=C(O[C@H]1C(C)(C)Oc2c(c3OC(=O)C=Cc3cc2)C1)C(C)C
O=C(O[C@H]1[C@@H](O)C(C)(C)Oc2c1c1OC(=O)C=Cc1cc2)/C(=C\C)/C
O=C(O[C@H]1[C@@H](O)C(C)(C)Oc2c1c1OC(=O)C=Cc1cc2)C(C)C
O=C(O[C@H]1[C@@H](OC(=O)C)C(C)(C)Oc2c1c1OC(=O)C=Cc1cc2)C(C)C
O=C(O[C@H]1[C@@H](OC(=O)C)C(C)(C)Oc2c1c1OC(=O)C=Cc1cc2)CC
O=C1Oc2c3[C@@H](O)[C@@H](O)C(C)(C)Oc3ccc2C=C1
O=C(OC(C=C)c1cc(OC)c(OC(=O)C(C)C)cc1)C(C)C
O=C(OC/C/1=C/C=C\C(C)CC[C@H]2C(=C)C(=O)O[C@@H]2C\1)C(C)C
O=C(OC/C/1=C/C=C\C(C)CC[C@H]2C(=C)C(=O)O[C@@H]2C\1)CC(C)C
O=C(O[C@@H]1C(=C)[C@@H]2[C@H]3OC(=O)C(=C)C3CCC(=C)[C@@H]2C1)C(C)C
O=C(O[C@@H]1C(=C)[C@@H]2[C@H]3OC(=O)C(=C)C3CCC(=C)[C@@H]2C1)CC(C)C
O=C(Oc1c(OC)cc(C(OC(=O)CC(C)C)C=C)cc1)C(C)C
O=C1C(=C)C2[C@H](O1)[C@H]1C(=C)CC[C@H]1C(=C)CC2
O=C1C(=C)[C@H]2[C@H](O1)C/C(/C)=C\C=C/C(C)CC2
O=C(/C=C/c1ccc(O)cc1)[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CCC(C(=C)C)(C)C)C)CC5)CC4)CC2)C3)CC1
O[C@@H]1C(C)(C)C2[C@@](C)(C=3C([C@@]4(C)[C@@](C)([C@@H]([C@@H](CCC(C(=C)C)(C)C)C)CC4)CC=3)CC2)CC1
O[C@@H]1C(C)(C)C2[C@@](C)(C=3C([C@@]4(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC4)CC=3)CC2)CC1
[C@H](CCC(C(=C)C)(C)C)(C)[C@@H]1[C@]2(C)[C@](C)(C3[C@](C)([C@]45O[C@H](C(C)(C)C4CC3)CC5)CC2)CC1
O(C)c1c(OC)c2c3c(c(OC)cc2cc1O)cc(O)cc3
O(C)c1c2c(O)c3C(=O)C(C)=C(C)Oc3cc2cc(OC)c1
O(C)c1c2c(O)c3C(=O)C=C(C)Oc3cc2cc(OC)c1
O(C)c1c2c(O)c3C(=O)C[C@H](C)Oc3cc2cc(OC)c1
O(C)c1c2c(O)c3C(=O)[C@@H](C)[C@H](C)Oc3cc2cc(OC)c1
O(C)c1c2c(O)c3C(=O)[C@H](C)[C@H](C)Oc3cc2cc(OC)c1
O(C)c1c2c(c(O)c3C(=O)C[C@H](C)Oc13)c(OC)cc(OC)c2
O(C)c1c2c(c(O)c3C(=O)[C@@H](C)[C@H](C)Oc13)c(OC)cc(OC)c2
O(C)c1c2c(c(O)c3C(=O)[C@H](C)[C@H](C)Oc13)c(OC)cc(OC)c2
O=C(O)C=1C(=O)C(C)=C2[C@@H](C)[C@H](C)OC=C2C=1O
O=C1C=C2[C@@](C)(C3C(=C4[C@@](C)([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC4)CC3)C=C2)CC1
O(C)c1c(O)ccc([C@H]2OC[C@@H]3[C@@H](c4c(C)c5OCOc5cc4)OC[C@H]23)c1
O(C)c1c(OC)ccc([C@H]2OC[C@@H]3[C@@H](c4c(C)c5OCOc5cc4)OC[C@H]23)c1
O(C)c1c(OC)ccc([C@H]2OC[C@@H]3[C@@H](c4cc5OCOc5cc4)OC[C@H]23)c1
O(C)c1c([C@H]2OC[C@@H]3[C@@H](c4c(OC)c5OCOc5cc4)OC[C@H]23)ccc2OCOc12
O=C1O[C@H](CCC)C[C@@H](O)/C=C/CCC1
O=C1O[C@H](CCC)[C@@H](O)[C@@H](O)/C=C/CCC1
O=C1[C@H](O)CC/C=C/[C@H](O)[C@H](O)[C@@H](CCC)O1
O=C(O)C(=C)C1CC(=O)C=2C(C)(C(C)CCC=2)C1
O=C1OC(CCCCCCCCCCCCCCCCCCCC)CC1
O=C1OC(CCCCCCCCCCCCCCCCCCCCC)CC1
O=C1OC(CCCCCCCCCCCCCCCCCCCCCC)CC1
O=C1OC(CCCCCCCCCCCCCCCCCCCCCCC)CC1
O=C1OC(CCCCCCCCCCCCCCCCCCCCCCCC)CC1
O=C1OC(CCCCCCCCCCCCCCCCCCCCCCCCC)CC1
O=C1OC(CCCCCCCCCCCCCCCCCCCCCCCCCC)CC1
OC[C@]1(C)[C@H]2C1[C@@H]1[C@H](C)CC[C@@H]1[C@](O)(C)CC2
O=C(/C=C/CCCCCCCCCCCCc1cc2OCOc2cc1)C
O=C(/C=C/CCCCCCCCCCCCc1ccccc1)C
O=C(/C=C/CCCCCCCCCCc1cc2OCOc2cc1)C
O=C(CCCCCCCCCC/C=C/c1cc2OCOc2cc1)C
O=C(CCCCCCCCCCCC/C=C/c1cc2OCOc2cc1)C
O=C(CCCCCCCCCCCCCC/C=C/c1cc2OCOc2cc1)C
O=C(CCCCCCCCCCCCCCCCc1cc2OCOc2cc1)C
O=C(CCCCCCCCCCCCCCc1cc2OCOc2cc1)C
O=C(CCCCCCCCCCCCCCc1ccccc1)C
O=C(CCCCCCCCCCCCc1cc2OCOc2cc1)C
O=C(CCCCCCCCCCc1cc2OCOc2cc1)C
O=C(OC)CC1OC(CCCCCCCCCCCCC)CCC1
O=C(OC)CC1OC(CCCCCCCCCCCCCC)CC1
O=C(OC)CC1OC(CCCCCCCCCCc2ccccc2)CCC1
O(C)C=1C(=O)C2=C(C(=O)C=1)c1c(cc(O)cc1)CC2
O(C)C=1C2(C(=O)c3c(O)cccc3CC2)CC(=O)C=1
O(C)c1c(O)c(OC)cc(CCc2cc(OC)c(O)cc2)c1
O(C)c1c(O)c(OC)cc2c1-c1c(cc(O)cc1)CC2
O(C)c1cc(O)c2-c3c(cc(O)cc3)CCc2c1
O=C(OC)[C@]12[C@@]3(O)[C@@](C)(CC[C@]1(C)[C@H]1[C@H](O)C[C@]4([C@H](O)C)[C@H]([C@]1(C)CC2)C=CC(=O)OC4)CCC(=C)C3
O=C(OC)[C@]12[C@@]3(O)[C@@](C)(CC[C@]1(C)[C@H]1[C@H](O)C[C@]4([C@H](O)C)[C@H]([C@]1(C)CC2)C=CC(=O)OC4)CCC(C)=C3
O=C(OC)[C@]12[C@@]3(O)[C@@](C)(CC[C@]1(C)[C@H]1[C@H](O)[C@H](O)[C@]4([C@H](O)C)[C@H]([C@]1(C)CC2)C=CC(=O)OC4)CCC(=C)C3
O=C(OC)[C@]12[C@@]3(O)[C@](C)(CC=C(C)C3)CC[C@]1(C)[C@H]1[C@H](O)C[C@]3([C@H](O)C)[C@H]([C@]1(C)CC2)C=CC(=O)OC3
O=C(OC)[C@]12[C@@]3(O)[C@](C)(CC=C(C)C3)CC[C@]1(C)[C@H]1[C@H](O)[C@H](O)[C@]3([C@H](O)C)[C@H]([C@]1(C)CC2)C=CC(=O)OC3
O=C(O[C@@H]1[C@H](O)[C@]2([C@H](O)C)[C@H]([C@@]3(C)[C@H]1[C@]1(C)[C@](C(=O)OC)([C@@]4(O)[C@@](C)(CC1)CCC(=C)C4)CC3)C=CC(=O)OC2)C
O=C(O[C@@H]1[C@H](O)[C@]2([C@H](O)C)[C@H]([C@@]3(C)[C@H]1[C@]1(C)[C@](C(=O)OC)([C@@]4(O)[C@](C)(CC=C(C)C4)CC1)CC3)C=CC(=O)OC2)C
O=C(O[C@H]1[C@@H](O)[C@@H]2[C@]3(C)[C@](C(=O)OC)([C@@]4(O)[C@@](C)(CC3)CCC(=C)C4)CC[C@@]2(C)[C@H]2[C@]1([C@H](O)C)COC(=O)C=C2)C
O=C(O[C@H]1[C@@H](O)[C@@H]2[C@]3(C)[C@](C(=O)OC)([C@@]4(O)[C@](C)(CC=C(C)C4)CC3)CC[C@@]2(C)[C@H]2[C@]1([C@H](O)C)COC(=O)C=C2)C
O[C@H](C
O([C@H]([C@H](OC(=O)C[C@@H](C(=O)O)CC(=O)O)[C@@H](CCCC)C)[C@H](C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H](N)C)C)C(=O)C[C@@H](C(=O)O)CC(=O)O
O[C@@H]1[C@@]2(c3ccc(O)cc3)Oc3c(c(O)cc4O[C@]5([C@H](O)[C@H](c6c(O)cc(O)cc6O5)c34)c3ccc(O)cc3)[C@@H]1c1c3O[C@@H]([C@@H](O)Cc3c(O)cc1O2)c1ccc(O)cc1
O[C@H]1[C@@]2(c3ccc(O)cc3)Oc3c(c(O)cc(O)c3)[C@@H]1c1c3O[C@@H]([C@@H](O)Cc3c(O)cc1O2)c1cc(O)c(O)cc1
O(C)c1c(O)c2-c3c(cc(O)cc3)CCc2cc1OC
O(C)c1c(O)ccc(CCc2cc(OC)cc(OC)c2)c1
O(C)c1c(OC)c2c3c(O)cccc3c(OC)cc2cc1O
O(C)c1c(OC)ccc(CCc2cc(OC)cc(OC)c2)c1
O(C)c1cc(O)cc(CCc2cc(OC)ccc2)c1
O(C)c1cc(O)cc(CCc2ccc(O)cc2)c1
O=C1c2c(O)c([C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)c(O)cc2OC(c2ccc(O)cc2)=C1
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)=C1
Oc1cc(O)cc(CCc2cc(O)ccc2)c1
Oc1cc(O)cc(CCc2ccc(O)cc2)c1
O=C(OCC(=O)c1c(O)cc(C)cc1)C
O[C@@H]1[C@@]2(O[C@H]3[C@](O)(c4c(c(C)ccc4)O3)CC2)c2c(O1)cc(C)cc2
O(C)C=1C(O)(C(=C)C)OC(=O)C=1
O=C1C(C)=C2C(O1)=CC1=C(O)C(=O)C[C@H](C)[C@@]1(C)C2
O=C(OCc1c(OC)cccc1)c1c(O)cccc1
O=C(OCc1cc(O)ccc1)c1c(OC)cccc1OC
O=C(OCc1cc(OC)ccc1)c1c(OC)cccc1O
O=C(OCc1cc(OC)ccc1)c1c(OC)cccc1OC
O=C(OCc1ccccc1)c1c(OC)c(OC)ccc1O
O=C(OCc1ccccc1)c1c(OC)c(OC)ccc1OC
O=C(OCc1ccccc1)c1c(OC)cccc1O
O=C(OCc1ccccc1)c1c(OC)cccc1OC
O=C(O)CCCCCCCCCC(O[C@H]1[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O[C@H]3[C@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)[C@@H](O)[C@H](O)[C@@H](CO)O1)CCCCC
O=C(O)CCCCCCCCCC(O[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](C[C@H]4[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O)[C@@H](C)O4)[C@H](C)O3)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCC
O=C(O)CCCCCCCCCC(O[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](C[C@H]4[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O)[C@@H](C)O4)[C@H](C)O3)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCCCC
O=C(O)CCCCCCCCCC(O[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4)[C@H](C)O3)[C@@H](O)[C@H](C)[C@@H](CO)C2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCCCC
O=C(OC)CCCCCCCCCC(O[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](C[C@H]4[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O)[C@@H](C)O4)[C@H](C)O3)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCC
O=C(OC)CCCCCCCCCC(O[C@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](C[C@H]4[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@H](O)[C@@H](CO)O4)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O)[C@@H](C)O4)[C@H](C)O3)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCCCC
O(C)c1c2C(=O)O[C@H](C)CCCCCCCc2cc(O)c1
O=C1NC=Nc2n([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cnc12
OCCc1ccc(O)cc1
O[C@@H]1CC=2[C@@](C)([C@@H]3C([C@H]4[C@@](C)([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC4)CC3)=CC=2)CC1
O(CC=C(C)C)c1c2c(occ2)cc2OC(=O)C=Cc12
O(C)c1c(CC=C(C)C)c2OC(=O)C=Cc2cc1
O(C)c1c2occc2cc2c1OC(=O)C=C2
O=C1Oc2c(ccc(O)c2)C=C1
O(CC(O)C(O)(C)C)c1c2c(occ2)cc2OC(=O)C=Cc12
O(C)c1c2c(occ2)cc2OC(=O)C=Cc12
O(C)c1c(O)cc2c(OC(=O)C=C2)c1
O(C)c1c(O)cc2OC(=O)C=Cc2c1
O(C)c1c(OC)c2-c3c(cc(O)cc3)CCc2cc1O
O(C)c1c(OC)c2c3c(O)cccc3c(OC)cc2cc1OC
O(C)c1c(OC)cc(CCc2cc(OC)c(O)cc2)cc1O
O=C1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CCC(C(=C)C)(C)C)C)CC5)CC4)CC2)C3)CC1
O[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CCC(C(=C)C)(C)C)C)CC5)CC4)CC2)C3)CC1
O(C)c1c2C(=O)CC(c3cc(-c4c(O)c5C(=O)C=C(c6ccc(O)cc6)Oc5cc4O)c(O)cc3)Oc2cc(O)c1
O=C(O)c1c(OC)cccc1
O=C(O)c1c(OC)cccc1O
O=C(O[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)[C@@H]([C@H]5[C@H](C)C(=C)CC[C@]5(C)CC4)CC3)CC2)CC1)C
O=C(O)[C@@]12[C@@H]([C@@H](C)[C@H](C)CC1)C=1[C@](C)([C@@]3(C)[C@@H]([C@]4(C)[C@H]([C@](CO)(C)[C@H](O)CC4)CC3)CC=1)CC2
O=C(O)/C=C/c1cc(O)c(O)cc1
O=C(O)/C=C/c1ccc(O)cc1
O=C(O)c1cc(O)c(O)c(O)c1
O=C(OC)c1cc(O)c(O)c(O)c1
Oc1c(O)cc2c([C@H]3[C@](O)(COc4c3ccc(O)c4)C2)c1
Oc1c(O)ccc2[C@@H]3[C@](O)(COc12)Cc1c3cc(O)c(O)c1
Oc1cc(O)cc(O)c1
O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@]2(C)[C@@H](OC(=O)C)CC[C@@H](C)[C@]32[C@H](O)[C@@H]1C(C)(C)O3)/C=C/c1ccccc1
O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@]2(C)[C@@H](OC(=O)C)CC[C@@](O)(C)[C@]32[C@H](O)[C@@H]1C(C)(C)O3)/C=C/c1ccccc1
O=C(O[C@@H]1[C@H](OC(=O)c2ccccc2)[C@]2(C)[C@@H](OC(=O)C)CC[C@@](O)(C)[C@]32[C@H](OC(=O)C)[C@@H]1C(C)(C)O3)/C=C/c1ccccc1
Clc1c(Cl)cc2c([nH]c3C(C)(C)[C@H]4[C@@]5(NC(=O)[C@@]6(N(C5)CCC6)C4)Cc23)c1
Clc1cc2[nH]c3C(C)(C)[C@H]4[C@@]5(NC(=O)[C@@]6(N(C5)CCC6)C4)Cc3c2cc1
O=C(CCC(=O)c1c(O)cc(C)cc1)c1c(O)cc(C)cc1
O=C(OCC(O)(CO)c1c(O)cc(C)cc1)/C(=C\C)/C
O=C(OCC(O)(COC(=O)/C(=C\C)/C)c1c(O)cc(C)cc1)/C(=C\C)/C
O=C(OCC(O)(COC(=O)C)c1c(O)cc(C)cc1)/C(=C\C)/C
O=C(Oc1c(C(C)C)ccc(C)c1)/C(=C\C)/C
O=C(Oc1c(C2(CO)OC2)ccc(C)c1)/C(=C\C)/C
O=C(Oc1c(C2(COC(=O)C)OC2)ccc(C)c1)/C(=C\C)/C
O[C@@]12c3c(OC1O[C@]1([C@@H](C)Oc4c1ccc(C)c4)CC2)cc(C)cc3
O(C)c1c(O)cc(O)c2C(=O)C(OC)=C(c3ccccc3)Oc12
O(C)c1c(OC)cc(O)c2C(=O)C(O)=C(c3ccccc3)Oc12
O=C(O)C[C@@]1(C)CC2[C@@]3(C)[C@@](C)(C4[C@](C)(C5[C@@](C)([C@@H](C)C(=O)CC5)CC4)CC3)CC[C@@]2(C)CC1
O=C1[C@H](C)[C@]2(C)C([C@@]3(C)C([C@]4(C)[C@](C)(C5[C@@](C)(CC4)CCC(C)(C)C5)CC3)CC2)CC1
O=C1[C@H](C)[C@]2(C)C([C@@]3(C)C([C@]4(C)[C@](C)(C5[C@@](C)(CC4)CC[C@](CCO)(C)C5)CC3)CC2)CC1
O=C1[C@H](C)[C@]2(C)C([C@@]3(C)C([C@]4(C)[C@](C)(C5[C@@](CO)(CC4)CCC(C)(C)C5)CC3)CC2)CC1
O[C@@H]1[C@H](C)[C@]2(C)C([C@@]3(C)C([C@]4(C)[C@](C)(C5[C@@](C)(CC4)CCC(C)(C)C5)CC3)CC2)CC1
O=C(Oc1c(C(C)C)ccc(C)c1)/C=C\C
O=C(Oc1c(C2(C(=O)C)OC2)ccc(C)c1)/C(=C\C)/C
Oc1c(C(C)C)ccc(C)c1
O=C(O)/C(=C\CC[C@@H](C)[C@H]1[C@@]2(C)[C@@](C)(C=3[C@@H]([C@]4(C)C(C(C)(C)C(=O)CC4)CC=3)CC2)CC1)/C
O=C(O)/C(=C\CC[C@@H](C)[C@H]1[C@@]2(C)[C@@](C)(C=3[C@@H]([C@]4(C)C(C(C)(C)[C@H](O)CC4)CC=3)CC2)CC1)/C
O[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)C([C@H]5[C@@](C)(CC4)CCC(C)(C)C5)=CC3)CC2)CC1
O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
O(C)c1c2OCOc2cc(CC=C)c1
O=C(O)/C=C/c1cc(OC)c(O)cc1
O=C1O/C(=C/CCC)/C2=C1C1[C@H]([C@H]3C=C4C(=O)O/C(=C\CCC)/[C@@]14CC3)CC2
O=C1O/C(=C/CCC)/C2=C1C=CCC2
O=C1O/C(=C/CCC)/c2c1cccc2
O=C(O)/C(=C/CC[C@H](C)[C@H]1[C@@]2(C)[C@@](C)(C=3C([C@]4(C)C(C(C)(C)C(=O)CC4)CC=3)CC2)CC1)/C
O=C(O)/C(=C/CC[C@H](C)[C@H]1[C@@]2(C)[C@@](C)(C=3C([C@]4(C)C(C(C)(C)[C@H](O)CC4)CC=3)CC2)CC1)/C
O=C(O)[C@]12C(C=3[C@](C)([C@@]4(C)C([C@]5(C)C(C(C)(C)[C@H](O)CC5)CC4)CC=3)CC1)CC(C)(C)CC2
O=C(O)c1c(O)cccc1CCCCCCC/C=C\CCCCCC
O=C(O)c1c(O)cccc1CCCCCCCCCCCCCCC
O=C(O)c1c(O)cccc1CCCCCCCCCCCCCCC/C=C\CC
O=C(O)c1c(O)cccc1CCCCCCCCCCCCCCCCCCC
O=C1c2c(O)cc(O)c([C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)c2OC(c2ccc(O)cc2)=C1
O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)c1cc(O)c2C(=O)C(O[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)=C(c3ccc(O)cc3)Oc2c1
O=C(O[C@@H]1[C@]2(C)[C@@H](C)CCC=C2C(=O)c2occ(C)c12)/C(=C\C)/C
O=C(O[C@@H]1[C@]2(C)[C@@H](C)CCC=C2C(=O)c2occ(C)c12)[C@H](CC)C
O=C(O[C@H]1[C@]2(C)[C@@H](C)CCC=C2C(=O)c2occ(C)c12)/C(=C\C)/C
O=C(O[C@H]1[C@]2(C)[C@@H](C)C[C@@H](O)C=C2C(=O)c2occc12)/C(=C\C)/C
O=C1c2occ(C)c2[C@](O)(C)C=2[C@@H](C)CCCC1=2
O(C)c1c(O)ccc(C2=C(O)C(=O)c3c(O)cc(O)cc3O2)c1
O(C)c1cc(O)c2C(=O)C=C(c3ccc(O)cc3)Oc2c1
O=C(C)c1c(O)c2c(OC(C)(C)C=C2)cc1
O=C(CO)c1c(O)c2c(OC(C)(C)C=C2)cc1
O=C(O[C@@H]1[C@@H](OC(=O)C)[C@](O)(C)C(=O)/C=C\[C@H](C)C[C@H]2OC(=O)C(=C)[C@H]12)/C(=C/C)/C
O=C(O[C@@H]1[C@@H](OC(=O)C)[C@](O)(C)C(=O)/C=C\[C@H](C)C[C@H]2OC(=O)C(=C)[C@H]12)/C(=C\C)/C
O=C(O[C@H]1C(O)[C@H](OC(=O)/C=C/c2cc(O)c(O)cc2)CC(O)(C(=O)O)C1)/C=C/c1cc(O)c(O)cc1
O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2c1c(O)cc(O)c2
O=C1C(O)=C(c2ccc(O)cc2)Oc2c1c(O)cc(O)c2
O=C(O)CCCCCCCCC[C@@H](O[C@H]1[C@H](O[C@@H]2[C@@H](O[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)[C@H](O)[C@@H](O)[C@H](CO[C@H]3[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@@H](O)[C@H](O)[C@@H](C)O3)O2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCC
O=C(O)CCCCCCCCC[C@@H](O[C@H]1[C@H](O[C@]2(O)[C@@H](O)[C@H](O[C@H]3[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@H](O)[C@@H](C)O3)[C@@H](C)CO2)[C@@H](O)[C@H](O)[C@@H](C)O1)CCC
C=C1C2C(C(C)(C)C2)CCC(C)=CCC1
C=C1C2C(C(C)(C)C2)CCC2(C)OC2CC1
