CO
NCCc1cnc[nH]1
COS(=O)(=O)OC
CSSc1ccccn1=O
O/N=Cc1ccccc1
CC(c1ccccc1)C
NC(C(=O)O)CCS
C/C=C/C=C/C=O
CCc1cccc(c1)C
C=CCc1ccccc1O
COc1ccc(cc1)O
COc1cccc(c1)O
COc1ccc(cc1)C
CC(=O)CC(=O)C
NCCc1ccccc1OC
ClC(C(=N)O)Cl
CCCCCCCCC(O)C
CCc1ccc(cc1)O
O=C1CC=C(O1)C
CC(COC(=O)C)C
Cc1ccc(o1)C=O
CCCCCC(=O)C=C
OCc1ccc(cn1)O
CCC(=O)C(=O)C
CCCCCCCC(=O)C
COc1cccc(c1)N
OCCOCCOCCOCCO
O=Cc1ccc[nH]1
CCCCCCCCCCCCO
Cc1c(C)cccc1O
OC(=O)C1CCCN1
CCc1ccc(cc1)C
CCOC(=O)C(O)C
OCC(Cl)(Cl)Cl
C/C(=CCC)/C=O
CC(Cc1nccs1)C
CCCCCCCCCCC=O
Nc1cccc(c1C)N
CSCCCCCCN=C=S
CCCCCCCCCCC=C
CC(=CC(=O)C)C
NCCCCCNC(=N)N
O=CCCc1ccccc1
CCCCCCCCCCCCC
ClC(C(=O)O)Cl
CCc1cccc(c1)O
Oc1c(O)cccc1O
CCC(C(=O)O)CC
CCCCC1CCOC1=O
O=C1CCC(=O)O1
CC(=NC(=O)C)O
NCCOP(=O)(O)O
CCC(=O)C(=O)O
NCc1ccc(cc1)O
NCCS(=O)(=O)O
OCc1ccc(cc1)O
CCCCCCCC(=O)O
O=c1cc[nH]cc1
CC(=O)c1cccs1
CC(=CC(=O)O)C
OC(=O)c1ccco1
OCc1cccc(c1)O
OCC(CC(=O)O)C
OCCOP(=O)(O)O
Oc1ccc(cc1)Br
CC(=O)CC(=O)O
NCCc1cc[nH]n1
CC(c1ccccc1)N
Cn1cc(nc1)CCN
NCC(CC(=O)O)O
ClC(Cl)(Cl)Cl
NC(C(=O)O)CCN
OC(=O)CC(=O)O
OC1=NC(=O)CC1
Oc1cccc(c1)Cl
CCCCC/C=C/C=O
CC(=O)OC(=O)C
Oc1ccc(cc1)Cl
CCCCCCOC(=O)C
O/N=C/c1cccs1
O=C=NC1CCCCC1
N#CSCc1ccccc1
O=Cc1ccccc1OC
N=c1cc[nH]cc1
CCCCOC(=O)C=C
S=C=Nc1ccccc1
CC/C=C/C(=O)O
OCC=Cc1ccccc1
CCC1CCC(=O)O1
CC(c1ccccc1)O
O=Cc1ccc(cc1)C
OCc1ccc(o1)C=O
CC(Cc1ccccc1)N
OC(=O)c1ccncc1
Clc1cccc(c1)Cl
CC(=C)c1ccccc1
CC1C(=O)CCC1=O
O/N=C/c1ccccc1
O=C1C=CC(=O)O1
COc1cc(O)ccc1O
NCCc1ccc(cc1)O
CCCC(=O)C(=O)O
CCCCCCCCCCCCBr
CCCCCOC(=O)CCC
O=C1C=CC(=O)C1
OCC[N+](C)(C)C
CS/C=C/C(=NC)O
OC(=N)c1ccccc1
CCCCCCCCCCCCCO
N#Cc1ccc(cc1)O
O=CC(Cl)(Cl)Cl
O=c1ccoc(c1O)C
O=CC=Cc1ccccc1
O=Cc1cccc(c1)O
BrCCCCCCCCCC=C
OC(=O)c1cccnc1
NNCc1cccc(c1)O
CCCC1CCC(=O)O1
Clc1ccc(cc1)Cl
CSCCC(C(=O)O)N
C=CCSS(=O)CC=C
OC(=O)C(O)(C)C
CCOC(=O)CC(C)C
O=Cc1ccc(cc1)O
CCC/C=C/C(=O)O
OCC(c1ccccc1)C
C1CCCCCCCCCCC1
CCCCCCCC(=O)OC
CSCC(=O)/C=N/O
CSCCCCCCCN=C=S
OC(=O)CCC(=O)O
COc1ccc(cc1)OC
ClC(C(Cl)Cl)Cl
CC1CCC(=O)C1=O
CC(CC(C)(C)C)C
CC(C(=O)O)CCCC
CCC(SSC(CC)C)C
CC(=NCC(=O)O)O
CCCCCCCCC(=O)O
Oc1noc2c1cccc2
C=Cc1ccc(cc1)O
C/C=C/c1ccccc1
O=CN(CC(=O)O)O
NCCc1ccc(cc1)C
CC(=O)c1ccccc1
CC(CCOC(=O)C)C
CCCCCCCOC(=O)C
CCCCCCCCCCCC=C
CC1=CC(=O)CCC1
S=C=NCc1ccccc1
OCCc1ccc(cc1)O
OC(=O)c1ccccn1
COc1cccc(c1)OC
COC(=O)CC(=O)C
CCCC(=O)C(=O)C
CCCCCC1CCOC1=O
OCc1ccc(cc1)OC
OC(=N)c1cccnc1
OC(=O)C(C)(C)C
C=CCOc1ccccc1O
OC(=O)c1cnccn1
CCC(COC(=O)C)C
CCCCCCOC(=O)CC
CCCC1CCOC(S1)C
CCOP(=S)(OCC)O
OCc1cnc(nc1O)O
CCC(c1ccccc1)O
CCCCCC/C=C/C=O
CCC(=O)C(=O)CC
O=Cc1ccc(cc1)N
CCCC/C=C/CCCCO
NC(=N)NCC(=O)O
SC1=NCC(O1)C=C
CCCCSS(=O)CCCC
C=CCCCCCCCCC=O
CCCCCCCCC(=O)C
OC(C(C)C)C(C)C
CCc1ccc(cc1)CC
CCOC(=O)C(=O)C
OC(=O)c1ccccc1
OC(=O)C1CCCCN1
CCCCCCCCCCCCCC
NCCc1cccc(c1)O
COc1cc(C)ccc1O
O=C1COC(=C1O)C
CC(=O)CCC(=O)O
OC/C=Cc1ccccc1
CCc1ccc(cc1O)O
CCCCCCC(=O)OCC
CC/C=C/C=C/C=O
NC(=N)NN(=O)=O
COCC(OC(=O)C)C
OCc1cc(O)ccc1O
OC(=O)C(N)(C)C
NCCCNCCCCNCCCN
CN(Cc1ccccc1)C
OC(=O)c1ccccc1O
OCCc1ccc(cc1)OC
NCC(=O)CCC(=O)O
CC(=C)CC(C)(C)C
N[C@@H]1CON=C1O
Cc1ccc(c(c1)O)O
Nc1cccc2c1cccc2
CCCCC(=O)C(=O)O
Cc1ccc(c(c1)C)N
COC(=O)c1cccnc1
C[C@H](C(=O)O)N
OC(=O)P(=O)(O)O
OC(=O)CCN(=O)=O
OC(=O)CCCC(=O)O
COc1cc(C)ccc1OC
COC(=O)c1ccccc1
COCc1cc(O)ccc1O
OC(=O)c1ccccc1N
OC(=N)C#CC(=N)O
Cc1cccc2c1cccc2
CCCCCC1=CCCC1=O
OC(=N)NC(C)(C)C
CCCCCCOC(=O)CCC
Oc1cccc2c1cccc2
Cc1cc(=N)[nH]o1
Oc1ncc(c(n1)O)C
O=Cc1cc(O)ccc1O
Oc1ncnc2c1cccc2
CCC[C@H]1CCCCN1
O=C/C=Cc1ccccc1
CCOS(=O)(=O)OCC
CCCCCC(=O)OCC=C
CC(=O)c1ccccc1N
Cc1ccc(c(c1)N)N
C=CCc1ccc(cc1)O
CCCCCCC(CCCC)CO
COC(=O)c1cnccn1
CCCCCCCCCCCCCCO
OC(=N)Cc1ccccc1
CCCCCCCCOC(=O)C
Cc1cc(C)cc(c1)O
CCc1ccc(cc1)C=O
CN=C(c1ccccc1)O
CCC(=O)OC(=O)CC
Cc1ccc(c(c1)C)O
OC(=N)N1CCCC1=O
c1ccc2c(c1)occ2
OC(c1ccccc1)C#N
C1Cc2c(C1)cccc2
CN=C(c1cccnc1)O
OC(=O)CNCC(=O)O
C[C@H]1CC(=O)O1
CCCCC(COCCCN)CC
Nc1ccc(c(c1)C)O
CCCCCCCC#CC#CCO
CC(=O)c1ccccc1O
CC/C=CCCOC(=O)C
OC(=O)c1ccccc1C
CC(=O)OCc1ccco1
Cc1ccc(c(c1)O)C
CCCCc1ccc(cc1)O
OC/C=C/c1ccccc1
Clc1c(N)cccc1Cl
S=C=NCCc1ccccc1
Cc1cc(O)nc(n1)O
Brc1cccc(c1O)Br
OC(=O)c1ncccc1O
CCCCCCCCCCCCC=C
OC1CCCCCCCCCCC1
CCCCCCCCC(=O)CF
C/C=C(/C(=O)C)C
Cc1cnc(c(n1)C)C
OC1=NCCc2n1cnc2
CCCCC1CCC(=O)O1
CCc1nc(C)cnc1CC
CCCCCCCCCC(=O)O
BrC(=CC(=O)O)Br
O=Cc1cccc(c1O)O
O=Cc1ccc(cc1O)O
CCC(=O)c1ccccc1
CC(=O)Cc1ccccc1
OC(=O)Cc1ccccc1
CCCCCOC(=O)CCCC
c1ccc2c(c1)scn2
Oc1ccc(c(c1)O)O
S=C=NCCCCS(=O)C
Oc1ccc(c(c1)C)O
Cc1cc(O)cc(c1)O
CC(=Nc1ccccc1)O
OC(=O)[C@H](O)C
COc1cccc(c1O)OC
OCC1COC(O1)(C)C
CCCCCCCCCCCCCCN
Oc1cccc2c1nccc2
OC(=N)c1ccccc1O
OC(C(=O)O)C(C)C
NCCCCC(C(=O)O)N
N=c1[nH]cc[nH]1
OC(=O)CSCC(=O)O
CCCc1ccc(cc1)OC
OC(=O)Cc1cccnc1
CCCC/C=C/C=CC=O
NC(C(=O)O)C(C)C
CCCCC(C(=O)O)CC
O=CC[N+](C)(C)C
CNCC(c1ccccc1)O
CSCCC(=O)C(=O)O
NNC(=O)c1ccncc1
CCCC(C(=O)O)CCC
OC(=N)c1ccccc1N
CC(=O)CCC=C(C)C
OCC1=C(C)CCC1=O
Oc1cc(O)cc(c1)O
NCCc1ccc(cc1)OC
CCCCCCCCCC(=O)C
OC(=O)C1=CCCNC1
O=Cc1ccc(s1)C=O
N#Cc1ccc(s1)C#N
O=Cc1ccc(s1)C#N
COc1cccc(c1)C=O
COC(=O)CC(=O)OC
CSCSSc1ccccn1=O
COc1ccc(cc1)C=O
C/C(=NO)/C(=O)C
Cc1ccc(c(c1)C)C
Cc1cc(C)cc(c1)C
CCCCCCC/C=C/C=O
NCC(=NCC(=O)O)O
OC(=O)C1=CCNCC1
Oc1ncc(c(n1)O)F
CCCCC(=O)C(=O)C
CCCCCCCCCCCCCCC
O=C1OCc2c1cccc2
ClC(=C(Cl)Cl)Cl
CC(C(=O)C(C)C)C
CC(=O)CC(O)(C)C
c1ccc2c(c1)OCC2
NC(=N)NCC=C(C)C
CCCCCC1CCC(=O)O1
COCc1ccc(cc1)COC
O=CC(CCC=C(C)C)C
CCOC(=O)c1cccnc1
OCC(C(=O)O)(CO)N
COC(=O)C1=CCCNC1
O=Cc1ccc2c1cocc2
CC/C=CCCOC(=O)CC
CCCCCCCCCCCCCCCO
OC(=O)CCc1ccccc1
COC(=O)c1ccccc1O
OC(=O)COc1ccccc1
CC(c1ccccc1)(O)C
C1CCC2C(C1)CCCC2
OC(=O)Cc1ccccc1O
CCCCCCCCCCC(=O)O
c1ccc2c(c1)cncc2
CC(C1CCC(CC1)O)C
NC(C(=O)O)CSCC=C
OCC(C(C(CO)O)O)O
CCC(c1nccnc1OC)C
C[C@H](C(=O)O)CC
Oc1nc2c(s1)cccc2
CCCCCCCCCCCCCCCC
CCCCCOC(=O)CCCCC
OC(=O)C1(N)CCCC1
CCC(=Nc1ccccc1)O
OC(C(=O)O)C(=O)O
COc1cc(C)cc(c1)O
CC[C@H](C(=O)O)N
CCCC(=O)OCCC(C)C
COC(=O)CCC(=O)OC
OC(=O)CCCCC(=O)O
CC(CCCC(O)(C)C)N
OC(=O)c1c[nH]cc1
OCc1cccc2c1cccc2
OC(=O)CCCNC(=N)O
Oc1ccc2c(c1)CCC2
COc1cc(C=O)ccc1O
COC(=O)CCCC(=O)O
Oc1nccc(=N)[nH]1
Cc1cccc2c1cccc2C
OCC#CC#CCCCCCC=C
COc1nccnc1CC(C)C
CCO[Si](OCC)(C)C
CCCCCCCC1CCCC1=O
CCCCCCCCCOC(=O)C
CCC(C(C(=O)O)N)C
OC[C@H](C(=O)O)N
COC(=O)c1ccccc1N
COC(CC(=O)C)(C)C
CCOC(=O)C(=O)OCC
Cc1cc(C)oc(=O)c1
O=C/C=C/c1ccccc1
N[C@H](C(=O)O)CN
CC(C(=O)O)C(=O)O
CCCCCc1ccc(cc1)O
NC(=N)NCCCC(=O)O
C=CC(=O)c1ccccc1
COc1cc(C=C)ccc1O
CCc1cccc2c1cccc2
Oc1ccc2c(c1)OCO2
OCCC(CCC=C(C)C)C
CCOC(=O)c1ccccc1
C[C@H](CC(=O)O)O
CCCCCCC(=O)OCC=C
CNc1ccccc1C(=O)O
N[C@H](C(=O)O)CS
CCCCCCCCCCCCCC=O
CC(=Nc1ccccc1O)O
N1CCc2c(C1)cccc2
COc1cccc(c1O)C=O
c1ccc2c(cc1)ccc2
C[C@@H](C(=O)O)N
Cc1nc2c(s1)cccc2
OC1=NC(=N)N(C1)C
O=c1ccoc2c1cccc2
CS/C=C/C(=NCCO)O
Cc1nc(C)c(nc1C)C
Oc1nc2c(o1)cccc2
CCCCCCCC/C=C/C=O
COC(=O)Cc1ccccc1
Cc1cc(C)c(cc1C)C
c1ccc2c(c1)cccc2
OC1COC(C(C1O)O)O
CC(=O)c1ccc[nH]1
CCCCCCCCCCC(=O)C
CC(c1ccccc1)(C)C
O=CCC(c1ccccc1)C
Cc1ccc(o1)C(=O)C
CCCCC(c1ccccc1)O
O=C1C=CC(=O)C=C1
CC(C(=O)C(=O)O)C
OC(C(=O)O)CC(C)C
OC(C(Cl)(Cl)Cl)O
NCCCCNCCCN=C(O)C
OC(=N)OP(=O)(O)O
BrCC(=O)c1ccccc1
OC(=O)c1ccccc1Cl
Cc1ccc(o1)C(=O)O
OC(=O)c1ccc[nH]1
CCCCOC(=O)C(CC)C
CCCC(=O)c1ccccc1
O=C1CCCCCCCCCCC1
O=Cc1cc(O)ccc1OC
CCCCCCCCC(=O)OCC
CCCCC[C@H](C=C)O
c1ccc2c(c1)nccc2
CN1CCCC1c1cccnc1
CCCCCCCCCC(=O)OC
CCC/C=C/COC(=O)C
CC(=O)OCc1ccccc1
O=c1occc2c1cccc2
OCCC(CC(C)(C)C)C
NC(C(=O)O)CC(C)C
C/C=C/C=C/C(=O)O
c1ccc2c(c1)C=CC2
CCCCCCCCCC(C=O)C
Sc1nc2c(s1)cccc2
C1CCc2c(C1)cccc2
COc1ccc(cc1)CC=C
O=CC(=O)c1ccccc1
CC(=O)CCc1ccccc1
Sc1nnnn1c1ccccc1
CC(=Nc1ccccc1C)O
OC1CNC(C1)C(=O)O
CC=Cc1ccc(cc1)OC
COc1cc(O)ccc1C=O
CCCCCCCOC(=O)CCC
Cc1ccc(cc1)C(C)C
CC(=NNc1ccccc1)O
OC(=O)/C=CC(=O)O
CN1CCc2c(C1)cccc2
CC1OC(=C(C1=O)O)C
N#Cc1ccc(c(c1)C)C
N[C@@H](C(=O)O)CS
Oc1ccc(cn1)C(=O)O
OCc1occ(c(=O)c1)O
CC[C@@H](C(=O)O)N
C[C@@H](C(=O)O)CC
OCCc1ccc(c(c1)O)O
CC(COC(=O)C(C)C)C
OCc1ccc([nH]1)C=O
OC(=O)CCCCCC(=O)O
C=CC(=C)CCC=C(C)C
CC1=CCC2CC1C2(C)C
Oc1ncnc2c1nc[nH]2
Cc1ccc(cc1)C(=O)C
NCC(c1ccc(cc1)O)O
NCCc1ccc(c(c1)O)O
C/C=C/C=C/C=C/C=O
OC(=O)c1ccc(cc1)N
O=Cc1ccc(c(c1)C)C
CN(CCc1[nH]cnc1)C
OC(=O)Cc1cnc[nH]1
CCCCCCOC(=O)C(C)C
CCc1ccc(c(c1)OC)O
NC(=O)c1ccc(cc1)O
OC(c1ccccc1)C(N)C
C[Se]CCC(C(=O)O)N
CC(=O)OCCc1ccccc1
COC(=O)c1ccccc1NC
Clc1ccc(c(c1)O)Cl
Cn1cnc2c1c(N)ncn2
OC1=Nc2c(C1)cccc2
CCCCCCCCCCCCCCC=C
C=CCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCCO
Nc1nc[nH]c2c1ncn2
Oc1cccc(c1)C(=O)O
COC(=O)c1ccccc1OC
Sc1ncnc2c1nc[nH]2
CC(Cc1ccccc1)(O)C
O=C1OC(=O)C(=C)C1
O=N(=O)c1ncc[nH]1
C[C@@H](CC(=O)O)O
COC(=O)[C@H](CS)N
OC(=O)CC(C(=O)O)O
OCC(COc1ccccc1C)O
OC(=O)CN(C(=N)N)C
C=CCc1cccc(c1O)OC
CCCCCCCCCCCC(=O)C
C[C@@H](C(=O)O)NC
OC(=O)[C@@H]1CCN1
CCCCCCCCCCCC(=O)O
CCCCC/C=C/C=C/C=O
CCCCCC/C=C/C(=O)C
OC[C@@H](C(=O)O)N
OC(=O)/C=C/C(=O)O
Nc1cccc(c1)C(=O)O
CN(C(=N)NC(=N)N)C
CCCCCCCCCCCCCCCCI
CCCCCCCCCCCCCCCCC
OCc1ccc(o1)C(=O)O
C/C=C/c1ccc(cc1)O
CCCC/C=CCCCCCCCCO
OC(=O)c1ccc(cc1)C
COc1cc(OC)ccc1C=O
CCCCCCCCCC(=O)OCC
CC(Cc1ccc(cc1)O)C
C/C=Cc1ccc(cc1)OC
Cc1c[nH]c2c1cccc2
C=CC(=CCC=C(C)C)C
OCCN=C(c1ccccc1)O
CCOC(=O)CC(=O)OCC
O=c1oc2ccccc2cc1O
Oc1ccccc1c1ccccc1
O=CCC(CCC=C(C)C)C
O=Cc1ccc(c(c1)O)O
Cc1ccc2c(c1)cccc2
Nc1ccc2c(c1)ccnc2
O=C/C=C/c1ccccc1O
CC(Cc1ccc(cc1)C)N
CCOC(=O)Cc1ccccc1
COc1cc(C=O)ccc1OC
CCOc1cc(C=O)ccc1O
Oc1ccc(cc1)C(=O)O
OC(=O)C1CCC(=N1)O
OC(=O)[C@H]1CCCN1
CCC(c1ccc(cc1)O)C
Oc1ccccc1C(C)(C)C
OCC(C(C(=O)CO)O)O
CCC(c1ccc(cc1)O)O
OCC(OP(=O)(O)O)CO
CCCCC(COC(=O)C)CC
CCCCCC(/C=C/C=O)O
CCCCCCCCCCCCC(O)C
OCC(COP(=O)(O)O)O
CC(CC(=O)CC(C)C)C
Oc1ncnc2c1c[nH]n2
Clc1ccc(c(c1)Cl)O
O=C1N=C(C(=O)N1)O
O=Cc1cccc2c1cccc2
OC(=O)C(Cl)(Cl)Cl
OC(=N)CCCCC1SSCC1
Oc1ccc2c(c1)cccc2
CCCCCC1CCCC(=O)O1
CC1OC(=O)C(=C1C)O
CCC[C@H](C(=O)O)N
OOC(c1ccccc1)(C)C
CCC(CCCC(C)C)(O)C
OC(=O)COP(=O)(O)O
Oc1cccc(c1)C(=O)C
CC(CC(=O)C(=O)O)C
OC1=Nc2ccccc2OC1O
N[C@H](C(=O)O)CCS
CCCCCCC1CCC(=O)O1
